Associated Gene Name	% GC content	Gene type	Chromosome Name	Gene Start (bp)	Gene End (bp)	Length
RP11-474N24.6	46.82	lincRNA	18	9912316	9912849	533
RP11-474N8.5	50.62	sense_overlapping	12	56996259	56998441	2182
RP11-474N8.8	53.81	TEC	12	56996961	56997551	590
RP11-474N8.9	57.28	processed_pseudogene	12	56941174	56941482	308
RP11-474O21.2	43.75	processed_pseudogene	1	12692909	12693020	111
RP11-474O21.5	55.65	lincRNA	1	12618900	12619244	344
RP11-474P12.3	49.54	processed_pseudogene	9	124968294	124968840	546
RP11-474P2.2	59.89	antisense	12	46371463	46373778	2315
RP11-474P2.4	36.46	lincRNA	12	46384233	46386991	2758
RP11-474P2.5	35.05	sense_intronic	12	46239106	46239473	367
RP11-474P2.6	37.51	lincRNA	12	46388856	46392126	3270
RP11-474P2.7	41.06	TEC	12	46404644	46407166	2522
RP11-475A13.1	36.54	lincRNA	15	36438972	36471016	32044
RP11-475A13.2	39.09	lincRNA	15	36341739	36344166	2427
RP11-475B2.1	35.37	lincRNA	4	173593672	173594556	884
RP11-475C16.1	54.14	processed_pseudogene	6	153282287	153282733	446
RP11-475C16.2	38.06	lincRNA	6	153304595	153308982	4387
RP11-475D10.4	42.94	TEC	16	8666762	8667271	509
RP11-475D10.5	46.53	processed_pseudogene	16	8731416	8731559	143
RP11-475D12.1	46.60	lincRNA	10	85431943	85432515	572
RP11-475D12.2	42.99	lincRNA	10	85432863	85448961	16098
RP11-475E11.2	43.55	processed_pseudogene	1	108766841	108767584	743
RP11-475E11.9	40.51	protein_coding	1	108837660	108963484	125824
RP11-475F14.1	32.75	unprocessed_pseudogene	13	70564267	70564437	170
RP11-475I24.1	33.96	unprocessed_pseudogene	9	42625436	42626813	1377
RP11-475I24.3	48.67	lincRNA	9	42566679	42569353	2674
RP11-475I24.7	64.20	processed_pseudogene	9	42636788	42637139	351
RP11-475I24.8	34.98	lincRNA	9	42579414	42586534	7120
RP11-475I24.9	62.97	processed_pseudogene	9	42568865	42569315	450
RP11-475J5.10	40.29	processed_pseudogene	5	100050719	100051063	344
RP11-475J5.11	41.07	processed_pseudogene	5	100046450	100046970	520
RP11-475J5.4	44.20	processed_pseudogene	5	100052859	100053539	680
RP11-475J5.5	43.16	processed_pseudogene	5	100053686	100055045	1359
RP11-475J5.6	43.42	processed_pseudogene	5	100048988	100050362	1374
RP11-475J5.7	46.09	processed_pseudogene	5	100045928	100046374	446
RP11-475J5.8	46.81	processed_pseudogene	5	100051133	100051916	783
RP11-475J5.9	41.10	processed_pseudogene	5	100050359	100050650	291
RP11-475O23.2	51.33	antisense	3	58572744	58574319	1575
RP11-475O23.3	50.83	antisense	3	58607080	58634440	27360
RP11-475O6.1	39.08	lincRNA	1	83575776	83861023	285247
RP11-476B1.1	33.36	lincRNA	1	196044996	196061073	16077
RP11-476B13.2	43.23	processed_pseudogene	9	92676943	92677407	464
RP11-476C8.2	50.39	processed_pseudogene	4	87166844	87167734	890
RP11-476D10.1	33.57	lincRNA	12	40140926	40142876	1950
RP11-476F14.1	42.48	lincRNA	10	33578931	33600040	21109
RP11-476H16.1	49.19	antisense	13	20564708	20567045	2337
RP11-476H20.1	35.38	lincRNA	1	194350943	194352426	1483
RP11-476H24.1	45.46	antisense	7	154838388	154865483	27095
RP11-476I15.5	63.67	processed_pseudogene	20	64278306	64278561	255
RP11-476I15.6	70.45	processed_pseudogene	20	64327418	64327972	554
RP11-476J6.1	49.64	processed_pseudogene	14	47801926	47802201	275
RP11-476K15.1	36.14	lincRNA	18	1509183	1647097	137914
RP11-476M19.1	48.13	processed_pseudogene	12	3468950	3469296	346
RP11-476M19.2	44.54	lincRNA	12	3367833	3371346	3513
RP11-476M19.3	43.50	antisense	12	3462718	3463586	868
RP11-477D19.2	41.83	antisense	6	155253139	155256724	3585
RP11-477E3.2	36.91	processed_pseudogene	6	79067692	79068138	446
RP11-477G18.1	48.22	processed_pseudogene	4	112116510	112116903	393
RP11-477G18.2	44.09	processed_pseudogene	4	112171215	112171527	312
RP11-477H21.2	33.15	sense_intronic	1	164680085	164680799	714
RP11-477I4.4	65.57	TEC	14	104815449	104815753	304
RP11-477J21.2	44.91	processed_pseudogene	9	121238117	121240089	1972
RP11-477J21.6	52.06	antisense	9	121279863	121282730	2867
RP11-477L16.2	41.92	processed_pseudogene	10	92878092	92878289	197
RP11-477N12.3	46.47	protein_coding	17	9802386	9822071	19685
RP11-477N12.4	44.87	processed_transcript	17	9791227	9808855	17628
RP11-477N3.1	41.38	lincRNA	2	54082554	54085066	2512
RP11-478B11.2	32.40	processed_pseudogene	10	55746551	55746908	357
RP11-478B9.1	38.72	antisense	12	45050901	45103107	52206
RP11-478B9.2	36.09	processed_pseudogene	12	45071769	45072843	1074
RP11-478C1.7	50.36	antisense	4	2295584	2319089	23505
RP11-478C1.8	40.75	processed_pseudogene	4	2324467	2325082	615
RP11-478C19.2	45.85	processed_transcript	12	110387463	110445548	58085
RP11-478C6.1	72.21	processed_pseudogene	4	336258	336786	528
RP11-478C6.2	63.24	processed_pseudogene	4	338097	338583	486
RP11-478C6.4	47.18	processed_pseudogene	4	342821	342962	141
RP11-478C6.5	32.90	processed_pseudogene	4	269866	270175	309
RP11-478C6.6	30.91	processed_pseudogene	4	268982	269531	549
RP11-478H13.1	45.59	lincRNA	10	28743745	28744663	918
RP11-478H13.4	43.13	transcribed_processed_pseudogene	10	28806121	28813458	7337
RP11-478H16.1	44.67	processed_pseudogene	1	236285976	236286960	984
RP11-478J18.2	50.89	antisense	1	213983793	213986419	2626
RP11-478K15.6	43.61	lincRNA	13	44234118	44243192	9074
RP11-478L17.1	49.13	processed_pseudogene	1	106544342	106544744	402
RP11-478P10.1	36.34	lincRNA	5	57890327	57899162	8835
RP11-479A21.1	59.04	processed_pseudogene	10	111104956	111105248	292
RP11-479F13.1	45.37	processed_pseudogene	2	61249780	61250621	841
RP11-479G22.6	32.50	processed_pseudogene	10	33023368	33023647	279
RP11-479G22.7	37.76	processed_pseudogene	10	33035469	33035664	195
RP11-479G22.8	43.07	lincRNA	10	32887255	32889311	2056
RP11-479I16.2	45.57	processed_pseudogene	3	161222911	161223147	236
RP11-479J7.1	39.85	lincRNA	1	166387727	166452632	64905
RP11-479J7.2	44.60	lincRNA	1	166334884	166335762	878
RP11-479O16.1	39.03	antisense	5	58741581	58817099	75518
RP11-479O17.10	37.27	lincRNA	10	79968213	79973213	5000
RP11-479O17.7	58.61	processed_pseudogene	10	79982910	79983240	330
RP11-479O17.9	38.65	TEC	10	79970963	79973213	2250
RP11-479O9.2	43.38	unprocessed_pseudogene	7	65773620	65802067	28447
RP11-479O9.3	47.59	unprocessed_pseudogene	7	65764535	65768306	3771
RP11-47A17.2	63.95	processed_pseudogene	1	200147531	200148279	748
RP11-47A8.5	65.53	lincRNA	10	102642792	102644140	1348
RP11-47F1.1	45.74	processed_pseudogene	5	108894347	108894628	281
RP11-47G11.2	58.86	processed_pseudogene	10	124004304	124004828	524
RP11-47G4.1	47.15	processed_pseudogene	18	71225704	71226721	1017
RP11-47G4.2	37.03	lincRNA	18	71216704	71237102	20398
RP11-47I22.1	45.84	antisense	14	61537508	61545287	7779
RP11-47I22.2	47.26	lincRNA	14	61556313	61570653	14340
RP11-47I22.4	42.22	protein_coding	14	61529128	61657964	128836
RP11-47J17.1	47.10	sense_intronic	11	12848795	12849433	638
RP11-47J17.2	47.13	antisense	11	12921186	12922925	1739
RP11-47J17.3	44.28	antisense	11	12822435	12823667	1232
RP11-47K11.2	46.01	processed_pseudogene	1	91534666	91535593	927
RP11-47L3.1	42.74	lincRNA	17	35313502	35324900	11398
RP11-47P18.1	34.55	lincRNA	3	80761042	80788963	27921
RP11-47P18.2	34.50	lincRNA	3	80764897	80789354	24457
RP11-480A16.1	46.41	lincRNA	3	195949188	195952695	3507
RP11-480C16.1	38.22	lincRNA	2	113432600	113436042	3442
RP11-480C22.1	37.01	lincRNA	11	127271062	127337033	65971
RP11-480D4.1	38.94	lincRNA	5	8333481	8457558	124077
RP11-480D4.2	39.39	lincRNA	5	8387638	8457564	69926
RP11-480D4.4	37.85	unprocessed_pseudogene	5	8455946	8456558	612
RP11-480D4.5	49.52	unprocessed_pseudogene	5	8410789	8410996	207
RP11-480D4.6	37.99	lincRNA	5	8444949	8445535	586
RP11-480D4.7	38.60	TEC	5	8458842	8459183	341
RP11-480G3.1	50.17	processed_pseudogene	4	10143367	10143655	288
RP11-480G7.1	36.68	lincRNA	16	46703369	46704025	656
RP11-480G7.2	49.18	processed_pseudogene	16	46789898	46792040	2142
RP11-480G7.3	42.58	processed_pseudogene	16	46850999	46851254	255
RP11-480I12.10	50.84	antisense	1	202810238	202810829	591
RP11-480I12.2	47.37	processed_pseudogene	1	202767229	202767418	189
RP11-480I12.5	51.87	transcribed_unprocessed_pseudogene	1	202851828	202861620	9792
RP11-480I12.7	46.36	lincRNA	1	202861754	202875241	13487
RP11-480I12.9	56.05	transcribed_processed_pseudogene	1	202873294	202874326	1032
RP11-480N24.3	50.39	processed_pseudogene	6	43310231	43310357	126
RP11-480N24.4	39.94	processed_pseudogene	6	43328134	43328476	342
RP11-480O10.1	34.14	lincRNA	8	13844101	13849109	5008
RP11-480O10.2	33.45	processed_pseudogene	8	13909231	13909780	549
RP11-481A20.10	32.50	transcribed_processed_pseudogene	8	12003400	12004082	682
RP11-481A20.4	42.67	processed_pseudogene	8	11999087	11999468	381
RP11-481A20.8	61.69	processed_pseudogene	8	12025244	12025598	354
RP11-481C4.1	39.35	antisense	17	51042524	51085471	42947
RP11-481C4.2	37.78	TEC	17	51183191	51186403	3212
RP11-481E4.1	44.95	processed_pseudogene	16	82434828	82435381	553
RP11-481E4.2	44.70	lincRNA	16	82495993	82510919	14926
RP11-481F24.3	41.49	TEC	16	55704119	55706422	2303
RP11-481G8.2	52.83	lincRNA	10	79000484	79003803	3319
RP11-481H12.1	47.19	processed_pseudogene	10	113482616	113483113	497
RP11-481J13.1	39.37	lincRNA	2	55952158	56181652	229494
RP11-481J2.1	48.89	antisense	16	58382989	58383798	809
RP11-481J2.2	47.12	lincRNA	16	58421326	58462470	41144
RP11-481J2.3	56.64	antisense	16	58392153	58392807	654
RP11-481J2.4	42.84	antisense	16	58522970	58523842	872
RP11-481J8.3	48.13	TEC	12	110744549	110746206	1657
RP11-481K16.2	40.44	transcribed_processed_pseudogene	4	143555082	143555583	501
RP11-481K9.4	48.58	processed_pseudogene	12	98590723	98591214	491
RP11-481N16.1	48.89	unprocessed_pseudogene	3	80442081	80442305	224
RP11-482D24.2	44.64	antisense	12	106680758	106684700	3942
RP11-482D24.3	42.19	antisense	12	106714924	106733066	18142
RP11-482E14.1	40.01	lincRNA	10	3486894	3502838	15944
RP11-482E14.2	45.59	lincRNA	10	3532094	3537031	4937
RP11-482H16.1	38.91	processed_transcript	2	56147630	56386171	238541
RP11-482L11.1	42.48	processed_pseudogene	11	85452282	85453698	1416
RP11-482M8.1	49.93	lincRNA	16	87492555	87515635	23080
RP11-482M8.3	56.70	antisense	16	87600526	87602190	1664
RP11-483A20.3	53.73	antisense	4	169010430	169010939	509
RP11-483C6.1	31.17	sense_intronic	14	26592747	26594517	1770
RP11-483E17.1	41.22	TEC	2	174545385	174546335	950
RP11-483E23.10	34.16	unprocessed_pseudogene	15	28422172	28422373	201
RP11-483E23.2	51.63	transcribed_unprocessed_pseudogene	15	28349051	28358080	9029
RP11-483E23.3	42.17	unprocessed_pseudogene	15	28362796	28365731	2935
RP11-483E23.4	67.89	unprocessed_pseudogene	15	28454660	28457783	3123
RP11-483E23.5	37.01	unprocessed_pseudogene	15	28473322	28473448	126
RP11-483E23.7	58.68	unprocessed_pseudogene	15	28564986	28565152	166
RP11-483E23.9	31.86	unprocessed_pseudogene	15	28416449	28416674	225
RP11-483F11.7	42.88	antisense	10	99651989	99653905	1916
RP11-483G21.3	53.12	processed_pseudogene	7	73314107	73315213	1106
RP11-483H20.4	60.35	antisense	9	129640476	129641282	806
RP11-483I13.2	39.75	lincRNA	1	108261196	108273689	12493
RP11-483I13.5	56.19	antisense	1	108199926	108201491	1565
RP11-483I13.6	42.04	TEC	1	108200413	108202743	2330
RP11-483I24.1	35.46	TEC	12	127462507	127463197	690
RP11-483K5.2	52.03	processed_pseudogene	16	8508069	8508585	516
RP11-483K5.3	44.76	lincRNA	16	8526549	8532013	5464
RP11-483L5.1	48.31	antisense	11	11570084	11573782	3698
RP11-483M24.2	53.25	processed_pseudogene	X	7113005	7113404	399
RP11-483P21.2	43.58	antisense	16	83789967	83807834	17867
RP11-483P21.6	58.75	antisense	16	83929796	83931223	1427
RP11-484D2.2	39.53	antisense	11	43328748	43359296	30548
RP11-484D2.3	45.21	processed_pseudogene	11	43466392	43466871	479
RP11-484D2.4	39.90	sense_overlapping	11	43390283	43395495	5212
RP11-484D2.5	36.64	antisense	11	43378882	43385671	6789
RP11-484D4.3	42.89	processed_pseudogene	1	84636158	84637106	948
RP11-484K9.4	51.34	antisense	3	112990447	112991153	706
RP11-484L7.1	38.39	processed_pseudogene	5	45557919	45559986	2067
RP11-484L7.2	38.06	processed_pseudogene	5	45574590	45576612	2022
RP11-484L8.1	51.09	antisense	18	48826051	48834770	8719
RP11-484M3.5	39.85	protein_coding	3	119147375	119187807	40432
RP11-484N16.1	40.96	lincRNA	18	70335929	70337310	1381
RP11-484O2.1	41.03	antisense	4	15358141	15420032	61891
RP11-484P15.1	38.58	lincRNA	15	23912409	23941716	29307
RP11-485B17.10	60.76	unprocessed_pseudogene	X	52481515	52483950	2435
RP11-485B17.12	52.48	processed_pseudogene	X	52531709	52532051	342
RP11-485B17.3	40.41	unprocessed_pseudogene	X	52422069	52459066	36997
RP11-485B17.5	39.85	unprocessed_pseudogene	X	52448587	52451138	2551
RP11-485B17.9	53.72	processed_pseudogene	X	52480836	52481131	295
RP11-485C11.1	46.30	processed_pseudogene	4	172380028	172380487	459
RP11-485G4.2	39.82	lincRNA	3	142157527	142161978	4451
RP11-485G7.5	46.49	antisense	16	11341809	11345211	3402
RP11-485G7.6	53.10	antisense	16	11348143	11349321	1178
RP11-485M7.1	43.72	processed_pseudogene	5	133003119	133003365	246
RP11-485M7.2	58.13	TEC	5	133052769	133052971	202
RP11-485M7.3	50.86	lincRNA	5	133111055	133114475	3420
RP11-485O10.2	30.15	antisense	15	48783190	48784121	931
RP11-485O10.3	54.51	processed_transcript	15	48810701	48811909	1208
RP11-485O14.1	46.41	processed_pseudogene	11	26427051	26427412	361
RP11-486A14.1	47.22	transcribed_processed_pseudogene	12	93314809	93315941	1132
RP11-486A14.2	43.11	antisense	12	93317135	93377736	60601
RP11-486B10.3	52.11	antisense	1	41535443	41535868	425
RP11-486B10.4	49.96	processed_pseudogene	1	41542069	41544310	2241
RP11-486E2.1	46.63	processed_pseudogene	6	80555841	80557189	1348
RP11-486F17.1	40.56	antisense	2	199325310	199329362	4052
RP11-486G15.1	53.75	processed_pseudogene	1	84085741	84086233	492
RP11-486G15.2	43.79	lincRNA	1	84076331	84077931	1600
RP11-486I11.2	58.79	lincRNA	16	11797468	11798275	807
RP11-486L19.2	59.14	antisense	16	84192558	84197053	4495
RP11-486M23.1	47.78	lincRNA	8	29527312	29530323	3011
RP11-486M23.2	40.31	lincRNA	8	29548171	29564341	16170
RP11-486M23.3	47.48	TEC	8	29587001	29588426	1425
RP11-486M3.2	38.98	processed_pseudogene	6	154549517	154550242	725
RP11-486M3.3	37.57	processed_pseudogene	6	154542552	154542740	188
RP11-486O12.2	49.36	lincRNA	12	123575891	123585115	9224
RP11-486O13.2	40.09	antisense	14	70187123	70230187	43064
RP11-486O13.3	66.22	processed_pseudogene	14	70234495	70235095	600
RP11-486O13.4	40.49	lincRNA	14	70425812	70547464	121652
RP11-486O13.5	43.26	unprocessed_pseudogene	14	70230224	70232426	2202
RP11-486P11.1	38.60	lincRNA	7	20096137	20130475	34338
RP11-487E1.2	41.74	processed_pseudogene	1	21073639	21073753	114
RP11-487E13.1	36.62	lincRNA	4	177242539	177248773	6234
RP11-487I5.4	47.21	processed_pseudogene	10	75125217	75125862	645
RP11-488C13.1	40.91	processed_pseudogene	14	76886377	76886750	373
RP11-488C13.4	54.56	lincRNA	14	76921840	76924649	2809
RP11-488C13.5	50.96	lincRNA	14	76781733	76786724	4991
RP11-488C13.6	57.44	antisense	14	76774284	76781518	7234
RP11-488C13.7	56.82	lincRNA	14	76778952	76782249	3297
RP11-488I20.2	48.25	unprocessed_pseudogene	16	35384144	35385086	942
RP11-488I20.3	39.48	lincRNA	16	35363412	35390584	27172
RP11-488I20.4	52.87	processed_pseudogene	16	35352482	35353022	540
RP11-488I20.5	38.23	processed_pseudogene	16	35347385	35348297	912
RP11-488I20.7	46.99	unprocessed_pseudogene	16	35335277	35336889	1612
RP11-488I20.8	41.36	lincRNA	16	35207937	35284146	76209
RP11-488I20.9	47.83	lincRNA	16	35192687	35195661	2974
RP11-488I4.2	50.59	processed_pseudogene	4	131112748	131113255	507
RP11-488L1.1	43.94	lincRNA	17	13095908	13100928	5020
RP11-488L18.1	44.67	processed_pseudogene	1	247229940	247231880	1940
RP11-488L18.10	27.85	lincRNA	1	247187281	247188526	1245
RP11-488L18.3	54.79	processed_pseudogene	1	247183813	247185482	1669
RP11-488L18.6	47.78	processed_pseudogene	1	247175256	247175525	269
RP11-488L18.8	39.93	lincRNA	1	247210691	247241823	31132
RP11-488P3.1	45.97	sense_intronic	1	93752924	93775444	22520
RP11-489C13.1	41.40	processed_pseudogene	1	194718795	194719236	441
RP11-489D6.2	41.47	antisense	15	33303657	33310659	7002
RP11-489E7.1	39.45	lincRNA	8	29905735	29908956	3221
RP11-489E7.4	68.45	antisense	8	30082758	30083467	709
RP11-489G11.3	37.57	lincRNA	4	173467833	173470041	2208
RP11-489M13.1	39.18	processed_pseudogene	4	4076711	4077491	780
RP11-489M13.2	61.39	processed_pseudogene	4	4117925	4118284	359
RP11-489M13.3	42.37	processed_pseudogene	4	4086638	4086814	176
RP11-489N22.3	56.39	lincRNA	9	126700298	126701033	735
RP11-489O18.1	36.85	lincRNA	8	138063268	138073240	9972
RP11-489P6.1	44.74	TEC	12	58094914	58098013	3099
RP11-489P6.2	41.70	TEC	12	58103907	58105935	2028
RP11-48B14.1	44.72	processed_pseudogene	17	3665220	3665702	482
RP11-48B3.2	42.45	processed_pseudogene	8	80568050	80568506	456
RP11-48B3.3	41.99	lincRNA	8	80535006	80539135	4129
RP11-48B3.4	32.35	lincRNA	8	80541300	80543104	1804
RP11-48B3.5	33.52	antisense	8	80484561	80485619	1058
RP11-48D4.2	37.58	lincRNA	8	76904591	76913399	8808
RP11-48F14.1	42.41	lincRNA	3	186454982	186493661	38679
RP11-48F14.2	47.75	lincRNA	3	186476727	186478370	1643
RP11-48G14.1	42.14	lincRNA	15	56408483	56410186	1703
RP11-48G14.2	31.64	lincRNA	15	56394321	56396785	2464
RP11-48G14.3	27.68	antisense	15	56447120	56447697	577
RP11-48L13.1	52.45	processed_pseudogene	9	29636486	29636853	367
RP11-48O20.5	58.34	unprocessed_pseudogene	1	159972548	159974064	1516
RP11-490B18.5	43.26	lincRNA	16	75556392	75557059	667
RP11-490B18.6	51.30	antisense	16	75572185	75572685	500
RP11-490D19.11	31.58	processed_pseudogene	9	101449801	101449933	132
RP11-490D19.8	43.21	processed_pseudogene	9	101501643	101501885	242
RP11-490E15.2	42.35	antisense	10	437561	441170	3609
RP11-490G2.2	32.10	lincRNA	1	97967005	97968814	1809
RP11-490G8.1	54.62	processed_pseudogene	12	95467397	95467861	464
RP11-490H24.5	56.21	processed_pseudogene	12	104030779	104031543	764
RP11-490K7.1	43.81	processed_pseudogene	1	31108188	31108623	435
RP11-490K7.4	39.13	processed_pseudogene	1	31263245	31263681	436
RP11-490M8.1	43.51	lincRNA	CHR_HSCHR2_1_CTG5	36360778	36361147	369
RP11-490N5.3	29.16	TEC	13	30196443	30196881	438
RP11-490O24.2	39.06	lincRNA	10	33909238	33917804	8566
RP11-490O6.2	56.49	antisense	16	11741910	11744506	2596
RP11-490P13.2	49.26	unprocessed_pseudogene	13	62397645	62397916	271
RP11-491F9.1	37.67	antisense	16	49287430	49290227	2797
RP11-491F9.2	46.15	TEC	16	49297143	49299762	2619
RP11-491F9.3	48.95	TEC	16	49341663	49350554	8891
RP11-491F9.5	47.51	lincRNA	16	49337167	49338993	1826
RP11-491F9.6	49.92	lincRNA	16	49336683	49337345	662
RP11-491F9.8	45.98	lincRNA	16	49294886	49296736	1850
RP11-491H19.1	41.17	lincRNA	10	61781745	61821246	39501
RP11-491H9.3	41.90	processed_pseudogene	6	45158870	45159511	641
RP11-491H9.4	39.50	unprocessed_pseudogene	6	45097496	45097976	480
RP11-492A10.1	37.00	antisense	5	114488997	114668410	179413
RP11-492C2.1	52.16	unprocessed_pseudogene	Y	6273579	6274065	486
RP11-492D6.3	48.12	unprocessed_pseudogene	15	20228620	20277503	48883
RP11-492E3.2	53.99	antisense	9	129575409	129584556	9147
RP11-492E3.51	49.87	lincRNA	9	129501990	129513686	11696
RP11-492I2.1	42.49	processed_pseudogene	1	50114937	50115282	345
RP11-492I21.1	36.52	antisense	1	176017277	176018760	1483
RP11-492L8.1	34.85	processed_pseudogene	5	117019548	117019679	131
RP11-492L8.2	38.83	lincRNA	5	117031200	117038569	7369
RP11-492M19.3	53.36	processed_pseudogene	1	26640377	26640614	237
RP11-492M23.2	43.35	processed_pseudogene	10	28898996	28899484	488
RP11-492O8.1	54.93	processed_pseudogene	X	36719918	36720221	303
RP11-493E12.1	45.02	lincRNA	2	61151433	61162105	10672
RP11-493E12.2	40.20	sense_intronic	2	61199979	61200769	790
RP11-493E12.3	41.70	processed_transcript	2	61115787	61164825	49038
RP11-493E3.1	40.08	processed_pseudogene	15	89876540	89877285	745
RP11-493E3.2	51.36	processed_pseudogene	15	89936492	89937005	513
RP11-493E3.3	51.02	TEC	15	89950760	89951345	585
RP11-493G17.4	37.25	processed_pseudogene	14	77359423	77359916	493
RP11-493K23.4	50.75	antisense	X	73080167	73084635	4468
RP11-493L12.3	41.90	antisense	12	47237734	47279021	41287
RP11-493L12.4	40.89	lincRNA	12	47248124	47257539	9415
RP11-493L12.5	40.17	lincRNA	12	47353754	47369935	16181
RP11-493L12.6	43.70	processed_pseudogene	12	47341614	47342089	475
RP11-493L12.7	39.64	lincRNA	12	47265665	47266108	443
RP11-493P1.2	44.80	antisense	12	115961187	115962733	1546
RP11-494G9.1	48.31	lincRNA	2	11673964	11676925	2961
RP11-494H4.3	37.50	lincRNA	3	179804063	179804366	303
RP11-494I9.1	41.75	processed_pseudogene	X	22616744	22617143	399
RP11-494I9.2	37.71	lincRNA	X	22428132	22494713	66581
RP11-494K3.2	56.23	processed_pseudogene	1	204946608	204947169	561
RP11-494M8.1	50.07	processed_pseudogene	11	7783697	7784407	710
RP11-494M8.4	38.16	sense_overlapping	11	7754393	7905955	151562
RP11-494O16.3	51.23	processed_pseudogene	22	49845929	49846090	161
RP11-494O16.4	56.44	lincRNA	22	49851425	49853364	1939
RP11-495K9.10	54.25	TEC	12	131620178	131620765	587
RP11-495K9.2	58.32	TEC	12	131295522	131298218	2696
RP11-495K9.3	60.76	lincRNA	12	131296110	131297972	1862
RP11-495K9.5	53.23	lincRNA	12	131756966	131758047	1081
RP11-495K9.6	58.99	lincRNA	12	131662596	131664704	2108
RP11-495K9.7	52.23	lincRNA	12	131647113	131648121	1008
RP11-495K9.8	50.09	TEC	12	131645918	131646444	526
RP11-495K9.9	65.27	lincRNA	12	131621891	131623203	1312
RP11-495O10.1	45.51	lincRNA	8	38700626	38704855	4229
RP11-495O11.1	58.47	antisense	11	45651529	45652691	1162
RP11-495P10.1	42.27	lincRNA	1	148415197	148429361	14164
RP11-495P10.10	42.37	processed_pseudogene	1	148435105	148436926	1821
RP11-495P10.3	42.03	lincRNA	1	148328999	148344636	15637
RP11-495P10.4	62.54	processed_pseudogene	1	148317683	148318013	330
RP11-495P10.5	47.16	lincRNA	1	148295180	148297556	2376
RP11-495P10.6	43.21	lincRNA	1	148271884	148280749	8865
RP11-495P10.7	48.92	lincRNA	1	148295792	148297271	1479
RP11-495P10.8	41.95	lincRNA	1	148290890	148295859	4969
RP11-495P10.9	57.10	unprocessed_pseudogene	1	148288001	148288951	950
RP11-496B10.1	54.66	processed_pseudogene	3	180589887	180590047	160
RP11-496B10.3	38.78	lincRNA	3	180566718	180601935	35217
RP11-496D1.2	42.53	processed_pseudogene	1	24563627	24563974	347
RP11-496D24.2	44.98	lincRNA	4	24659856	24671568	11712
RP11-496H1.1	41.28	processed_pseudogene	3	197634315	197635811	1496
RP11-496H1.2	52.44	lincRNA	3	197645669	197646017	348
RP11-496H15.2	41.54	processed_pseudogene	1	10054445	10054781	336
RP11-496I2.2	29.42	lincRNA	14	19244962	19247673	2711
RP11-496I2.4	52.31	unprocessed_pseudogene	14	19228924	19244931	16007
RP11-496I2.5	61.90	processed_pseudogene	14	19267115	19268164	1049
RP11-496I2.7	57.83	processed_pseudogene	14	19199763	19200279	516
RP11-496I2.8	58.97	unprocessed_pseudogene	14	19220796	19220912	116
RP11-496I9.1	63.07	antisense	11	557595	560107	2512
RP11-496N12.6	49.91	sense_intronic	1	225447243	225465343	18100
RP11-497D6.3	41.17	lincRNA	6	146859181	146863081	3900
RP11-497D6.5	42.06	lincRNA	6	146948528	146951159	2631
RP11-497E19.1	39.34	lincRNA	14	85524432	85529988	5556
RP11-497E19.2	45.05	lincRNA	14	85528599	85529386	787
RP11-497G19.1	46.47	lincRNA	12	116661582	116698065	36483
RP11-497G19.2	45.03	lincRNA	12	116698336	116703130	4794
RP11-497G19.3	48.17	lincRNA	12	116599270	116603585	4315
RP11-497G19.7	47.54	lincRNA	12	116580974	116583672	2698
RP11-497H16.2	60.92	unprocessed_pseudogene	5	70487602	70491132	3530
RP11-497H16.4	58.64	unprocessed_pseudogene	5	70529371	70530550	1179
RP11-497H16.5	40.49	unprocessed_pseudogene	5	70516387	70555266	38879
RP11-497H16.6	61.01	unprocessed_pseudogene	5	70508079	70512413	4334
RP11-497H16.7	44.46	transcribed_unprocessed_pseudogene	5	70462244	70479215	16971
RP11-497H16.8	52.74	unprocessed_pseudogene	5	70495100	70500903	5803
RP11-497H16.9	32.31	lincRNA	5	70449636	70450353	717
RP11-497H17.1	52.98	lincRNA	17	82918282	82918785	503
RP11-497J7.1	45.83	processed_pseudogene	X	35710911	35711942	1031
RP11-497J7.2	47.91	processed_pseudogene	X	35761499	35762479	980
RP11-497J7.4	36.98	processed_pseudogene	X	35741600	35744582	2982
RP11-497K15.1	43.46	processed_pseudogene	9	87423634	87423893	259
RP11-497K21.1	33.58	antisense	4	162022733	162047567	24834
RP11-498B4.5	48.77	antisense	10	116670103	116672739	2636
RP11-498C9.12	64.41	antisense	17	81922899	81924511	1612
RP11-498C9.13	58.40	antisense	17	81932398	81933058	660
RP11-498C9.15	43.70	lincRNA	17	81878425	81881106	2681
RP11-498C9.16	40.29	lincRNA	17	81878667	81879557	890
RP11-498C9.17	60.02	lincRNA	17	81965632	81966589	957
RP11-498C9.2	56.68	antisense	17	81843165	81843958	793
RP11-498C9.3	65.14	antisense	17	81867721	81868552	831
RP11-498C9.4	45.85	TEC	17	81862778	81863102	324
RP11-498D10.3	49.38	sense_intronic	16	71881553	71882273	720
RP11-498D10.8	46.02	unprocessed_pseudogene	16	72004239	72004803	564
RP11-498E11.2	47.68	processed_pseudogene	4	65216616	65217433	817
RP11-498E2.7	43.93	lincRNA	9	122324608	122325315	707
RP11-498E2.8	43.40	lincRNA	9	122330867	122331343	476
RP11-498E2.9	45.70	sense_intronic	9	122372605	122372825	220
RP11-498J9.2	60.46	antisense	10	119003536	119003884	348
